Date,P(t),Q(t-1),Q(t)
1990-01-01,2.552307692,4.535,4.814
1990-01-02,2.066923077,4.151,4.535
1990-01-03,1.643846154,4.023,4.151
1990-01-04,2.662307692,3.895,4.023
1990-01-05,1.823076923,3.661,3.895
1990-01-06,1.161538462,3.543,3.661
1990-01-07,2.973076923,3.543,3.543
1990-01-08,0.020769231,3.543,3.543
1990-01-09,0.367692308,3.543,3.543
1990-01-10,0.033076923,3.543,3.543
1990-01-11,0,3.543,3.543
1990-01-12,0.078461538,3.543,3.543
1990-01-13,0,3.543,3.543
1990-01-14,0.004615385,3.543,3.543
1990-01-15,0,3.426,3.543
1990-01-16,0,3.309,3.426
1990-01-17,0.143076923,3.203,3.309
1990-01-18,0.196153846,3.097,3.203
1990-01-19,0.083846154,3.097,3.097
1990-01-20,0.006153846,3.097,3.097
1990-01-21,1.642307692,3.097,3.097
1990-01-22,0.605384615,3.097,3.097
1990-01-23,0.038461538,3.097,3.097
1990-01-24,0.069230769,3.097,3.097
1990-01-25,1.555384615,3.097,3.097
1990-01-26,4.793076923,3.097,3.097
1990-01-27,8.508461538,3.203,3.097
1990-01-28,10.01615385,4.279,3.203
1990-01-29,4.293846154,4.675,4.279
1990-01-30,3.057692308,4.675,4.675
1990-01-31,6.206923077,5.384,4.675
1990-02-01,0.87,5.838,5.384
1990-02-02,2.7,6.152,5.838
1990-02-03,0.668461538,5.535,6.152
1990-02-04,0.001538462,5.093,5.535
1990-02-05,0,4.954,5.093
1990-02-06,0.059230769,4.675,4.954
1990-02-07,0,4.407,4.675
1990-02-08,0.001538462,4.151,4.407
1990-02-09,0,4.023,4.151
1990-02-10,0,4.023,4.023
1990-02-11,0.167692308,4.023,4.023
1990-02-12,0.630769231,3.895,4.023
1990-02-13,0,3.661,3.895
1990-02-14,0,3.543,3.661
1990-02-15,0,3.543,3.543
1990-02-16,0,3.426,3.543
1990-02-17,0,3.203,3.426
1990-02-18,0.05,3.097,3.203
1990-02-19,0,2.99,3.097
1990-02-20,0.17,2.778,2.99
1990-02-21,2.896923077,2.682,2.778
1990-02-22,0,2.682,2.682
1990-02-23,0.002307692,2.682,2.682
1990-02-24,0,2.682,2.682
1990-02-25,0,2.682,2.682
1990-02-26,0,2.682,2.682
1990-02-27,0,2.682,2.682
1990-02-28,0,2.682,2.682
1990-03-01,0,2.682,2.682
1990-03-02,0.331538462,2.682,2.682
1990-03-03,1.159230769,2.587,2.682
1990-03-04,0.070769231,2.491,2.587
1990-03-05,0,2.491,2.491
1990-03-06,0,2.491,2.491
1990-03-07,0.016153846,2.491,2.491
1990-03-08,3.268461538,2.491,2.491
1990-03-09,1.194615385,2.491,2.491
1990-03-10,0.11,2.396,2.491
1990-03-11,0.373076923,2.396,2.396
1990-03-12,2.298461538,2.491,2.396
1990-03-13,0.323846154,2.587,2.491
1990-03-14,0.003076923,2.587,2.587
1990-03-15,0,2.396,2.587
1990-03-16,0,2.3,2.396
1990-03-17,0,2.3,2.3
1990-03-18,0,2.215,2.3
1990-03-19,0,2.215,2.215
1990-03-20,0,2.215,2.215
1990-03-21,0.006153846,2.215,2.215
1990-03-22,0,2.215,2.215
1990-03-23,7.363076923,2.215,2.215
1990-03-24,1.72,2.215,2.215
1990-03-25,0.067692308,2.044,2.215
1990-03-26,0,2.044,2.044
1990-03-27,0,2.044,2.044
1990-03-28,0,2.044,2.044
1990-03-29,0.126153846,1.958,2.044
1990-03-30,0.279230769,1.873,1.958
1990-03-31,0.670769231,1.798,1.873
1990-04-01,4.769230769,1.722,1.798
1990-04-02,3.669230769,1.647,1.722
1990-04-03,0.292307692,1.647,1.647
1990-04-04,6.770769231,1.722,1.647
1990-04-05,13.19461538,2.129,1.722
1990-04-06,12.90615385,3.097,2.129
1990-04-07,2.260769231,3.203,3.097
1990-04-08,2.236153846,2.884,3.203
1990-04-09,1.66,2.778,2.884
1990-04-10,1.214615385,2.682,2.778
1990-04-11,0,2.682,2.682
1990-04-12,0.007692308,2.587,2.682
1990-04-13,1.054615385,2.491,2.587
1990-04-14,0.223076923,2.396,2.491
1990-04-15,0.154615385,2.3,2.396
1990-04-16,0.006923077,2.3,2.3
1990-04-17,0.192307692,2.3,2.3
1990-04-18,0,2.3,2.3
1990-04-19,0.063846154,2.3,2.3
1990-04-20,1.746923077,2.3,2.3
1990-04-21,0.641538462,2.044,2.3
1990-04-22,1.040769231,1.958,2.044
1990-04-23,0.841538462,1.958,1.958
1990-04-24,0.850769231,1.958,1.958
1990-04-25,3.223846154,1.958,1.958
1990-04-26,0.403846154,1.958,1.958
1990-04-27,0,1.958,1.958
1990-04-28,0.062307692,1.958,1.958
1990-04-29,0.002307692,1.958,1.958
1990-04-30,0.224615385,1.958,1.958
1990-05-01,0.937692308,1.958,1.958
1990-05-02,0.097692308,1.958,1.958
